,rank,title,points,counries,days,isoriginal,show_id,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
23,35,The Blacklist,"12,054",57,333,No,s1981,TV Show,,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold, Harry Lennix, Amir Arison, Hisham Tawfiq, Mozhan Marnò",United States,"September 18, 2020",2019,Teens,7 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers","After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner."
24,36,Clickbait,"12,010",80,43,YES,s223,TV Show,Brad Anderson,"Zoe Kazan, Betty Gabriel, Adrian Grenier, Phoenix Raei, Abraham Lim, Jessica Collins, Camaron Engels, Jaylin Fletcher, Liz Alexander, Joyce Guy, Daniel Henshall, Ian Meadows, Jamie Timony, Steve Mouzakis, Becca Lish",,"August 25, 2021",2021,Adults,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
25,38,Too Hot to Handle,"11,584",74,67,YES,s649,TV Show,,Desiree Burch,United States,"June 23, 2021",2021,Adults,2 Seasons,"Reality TV, Romantic TV Shows","On the shores of paradise, gorgeous singles meet and mingle. But there’s a twist. To win a $100,000 grand prize, they’ll have to give up sex."
26,39,Dynasty,"11,091",78,137,YES,s2474,TV Show,,"Elizabeth Gillies, Nathalie Kelley, Grant Show, James Mackay, Rafael De La Fuente, Alan Dale, Sam Adegoke, Robert Christopher Riley",United States,"May 23, 2020",2019,Teens,3 Seasons,TV Dramas,The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.
27,40,Never Have I Ever,"11,035",79,48,YES,s460,TV Show,,"Maitreyi Ramakrishnan, Poorna Jagannathan, Richa Moorjani, Jaren Lewison, Darren Barnet, John McEnroe, Ramona Young, Lee Rodriguez, Sendhil Ramamurthy, Adam Shapiro, Niecy Nash, Cocoa Brown, Lily D. Moore, Eddie Liu",United States,"July 15, 2021",2021,Teens,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows","After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her."
28,41,Virgin River,"10,939",75,62,YES,s489,TV Show,,"Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole, Colin Lawrence, Jenny Cooper, Lauren Hammersley",United States,"July 9, 2021",2021,Teens,3 Seasons,"Romantic TV Shows, TV Dramas","Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what – and who – she finds."
29,42,Jupiter's Legacy,"10,782",81,26,YES,s909,TV Show,,"Josh Duhamel, Ben Daniels, Leslie Bibb, Andrew Horton, Elena Kampouris, Matt Lanter, Mike Wade, Tenika Davis, Ian Quinlan, David Julian Hirsh, Tyler Mane",United States,"May 7, 2021",2021,Adults,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy","They're the first generation of superheroes. But as they pass the torch to their children, tensions are rising — and the old rules no longer apply."
30,44,The Queen of Flow,"10,485",28,172,YES,s4407,TV Show,,"Carolina Ramírez, Carlos Torres, Andrés Sandoval, Adriana Arango, Mabel Moreno, Luis Alfredo Velasco, Pacho Rueda, Diana Wiswell, Mariana Garzón, Kiño, Sebastián Silva, Mariana Gómez, María José Vargas, Guillermo Blanco, Juan Manuel Restrepo, Alejandro Otero, David Ojalvo",Colombia,"November 9, 2018",2018,Adults,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Seventeen years after being wrongly imprisoned, a talented songwriter seeks justice against the men who caused her downfall and killed her family."
31,46,The Queen's Gambit,"10,317",76,198,YES,s1805,TV Show,,"Anya Taylor-Joy, Bill Camp, Marielle Heller, Thomas Brodie-Sangster, Moses Ingram, Harry Melling, Isla Johnston, Christiane Seidel, Rebecca Root, Chloe Pirrie, Jacob Fortune-Lloyd",United States,"October 23, 2020",2020,Adults,1 Season,TV Dramas,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction."
32,47,Hit & Run,"10,271",79,49,YES,s297,TV Show,,"Lior Raz, Kaelen Ohm, Sanaa Lathan, Moran Rosenblatt, Lior Ashkenazi, Gregg Henry, Gal Toren","Israel, United States","August 6, 2021",2021,Adults,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries",A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.
33,51,Narcos: Mexico,"9,134",81,47,YES,s2922,TV Show,,"Michael Peña, Diego Luna, Tenoch Huerta, Joaquin Cosio, José María Yazpik, Matt Letscher, Alyssa Diaz","Mexico, United States","February 13, 2020",2020,Adults,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas","Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent."
34,52,The Irregulars,"8,959",82,35,YES,s1167,TV Show,,"Mckell David, Thaddea Graham, Jojo Macari, Harrison Osterfield, Darci Shaw, Clarke Peters, Royce Pierreson, Henry Lloyd-Hughes",United Kingdom,"March 26, 2021",2021,Teens,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes."
35,54,Lost in Space,"8,837",87,29,YES,s3107,TV Show,,"Molly Parker, Toby Stephens, Max Jenkins, Taylor Russell, Mina Sundwall, Parker Posey, Ignacio Serricchio",United States,"December 24, 2019",2019,Older Kids,2 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers."
36,55,Cobra Kai,"8,830",77,59,YES,s1449,TV Show,,"Ralph Macchio, William Zabka, Xolo Maridueña, Martin Kove, Mary Mouser, Tanner Buchanan, Courtney Henggeler, Jacob Bertrand",United States,"January 1, 2021",2021,Teens,3 Seasons,"TV Action & Adventure, TV Comedies, TV Dramas","Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films."
37,56,Good Girls,"8,542",72,71,YES,s1307,TV Show,,"Christina Hendricks, Retta, Mae Whitman, Matthew Lillard, Reno Wilson, Manny Montana, Lidya Jewett, Izzy Stannard, David Hornsby, Zach Gilford",United States,"February 16, 2021",2020,Adults,3 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together.
38,60,The Snitch Cartel: Origins,"7,815",16,86,YES,s382,TV Show,,"Juan Pablo Urrego, Sebastián Osorio, Patricia Tamayo, Verónica Velásquez, María Camila Zárate, Nicole Santamaría, Eduardo Pérez, Julian Farrieta, Gustavo Angarita Jr., Carlos Manuel Vesga, Helena Mallarino, David Prada, Margarita Reyes, Adriana Silva, Laura Rodríguez, Angélica Blandón, Maia Landaburu, Jesús de los Ríos",,"July 28, 2021",2021,Adults,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins."
39,62,The Circle,"7,708",55,74,YES,s96,TV Show,,Michelle Buteau,"United States, United Kingdom","September 8, 2021",2021,Adults,3 Seasons,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
40,63,Locke & Key,"7,584",84,45,YES,s2942,TV Show,,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott, Petrice Jones, Laysla De Oliveira, Griffin Gluck, Sherri Saum, Aaron Ashmore, Bill Heck, Genevieve Kang, Kevin Alves, Thomas Mitchell Barnet, Eric Graise, Felix Mallard, Martin Roach, Steven Williams, Coby Bird","Canada, United States","February 7, 2020",2020,Teens,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries","After their dad's murder, three siblings move with their mom to his ancestral estate, where they discover magical keys that unlock powers — and secrets."
