,rank,title,points,counries,days,isoriginal,show_id,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
27,53,Sentinelle,"6,230",83,21,YES,s1237,Movie,Julien Leclercq,"Olga Kurylenko, Marilyn Lima, Michel Nabokoff, Martin Swabey, Carole Weyers, Andrey Gorlenko, Antonia Malinova, Gabriel Almaer, Blaise Afonso, Guillaume Duhesme, Michel Biel",France,"March 5, 2021",2021,Adults,81 min,"Action & Adventure, Dramas, International Movies","Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister."
28,54,Hotel Transylvania 3: Summer Vacation,"6,219",51,188,No,s7009,Movie,Genndy Tartakovsky,"Adam Sandler, Selena Gomez, Kevin James, Kathryn Hahn, Andy Samberg, David Spade, Steve Buscemi, Fran Drescher, Molly Shannon, Mel Brooks, Keegan-Michael Key",United States,"January 24, 2019",2018,Older Kids,97 min,"Children & Family Movies, Comedies","It's love at first sight for Dracula when he meets Ericka, the charming but mysterious captain of the monster cruise that Mavis plans for the family."
29,55,The Dig,"6,172",82,25,YES,s1371,Movie,Simon Stone,"Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn, Ben Chaplin, Ken Stott",United Kingdom,"January 29, 2021",2021,Teens,113 min,"Dramas, International Movies","On the eve of World War II, a British widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find."
30,56,Moxie,"6,062",81,24,YES,s1242,Movie,Amy Poehler,"Hadley Robinson, Lauren Tsai, Patrick Schwarzenegger, Nico Hiraga, Sydney Park, Josephine Langford, Clark Gregg, Josie Totah, Alycia  Pascual-Peña, Anjelika Washington, Charlie Hall, Sabrina Haskett, Ike Barinholtz, Amy Poehler, Marcia Gay Harden",United States,"March 3, 2021",2021,Teens,112 min,"Comedies, Dramas, Music & Musicals","Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school."
31,57,Intrusion,"6,045",83,17,YES,s19,Movie,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",,"September 22, 2021",2021,Teens,94 min,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
32,60,Pieces of a Woman,"5,908",79,21,YES,s1436,Movie,Kornél Mundruczó,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Molly Parker, Sarah Snook, Iliza Shlesinger, Benny Safdie, Jimmie Fails","Canada, Hungary, United States","January 7, 2021",2020,Adults,128 min,Dramas,"A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief."
33,62,Space Sweepers,"5,662",81,64,YES,s1343,Movie,Jo Sung-hee,"Song Joong-ki, Kim Tae-ri, Jin Sun-kyu, Yoo Hai-jin, Richard Armitage, Park Ye-rin",South Korea,"February 5, 2021",2021,Adults,138 min,"Action & Adventure, Dramas, International Movies","Chasing after space debris and faraway dreams in year 2092, four misfits unearth explosive secrets during the attempted trade of a wide-eyed humanoid."
34,63,Paper Lives,"5,647",62,44,YES,s1213,Movie,Can Ulkay,"Çağatay Ulusoy, Emir Ali Doğrul, Ersin Arıcı, Turgay Tanülkü, Selen Öztürk, Osman İskender Bayer, Tomris Çetinel, Volkan Çalışkan, Mehmet Bahattin Genç, Okşan Büyük",Turkey,"March 12, 2021",2021,Adults,97 min,"Dramas, International Movies","In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood."
35,65,Secret Magic Control Agency,"5,607",77,32,YES,s1171,Movie,Aleksey Tsitsilin,"Nicholas Corda, Sylvana Joyce, Alyson Leigh Rosenfeld, Courtney Shaw, Erica Schroeder, Georgette Timoney, Mary O'Brady, Marc Thompson","Russia, United States","March 25, 2021",2021,Older Kids,105 min,"Children & Family Movies, Comedies","Hansel and Gretel of fairy tale fame — now acting as secret agents — must use magic, clever thinking and teamwork on a mission to find a missing king."
36,66,Xtreme,"5,488",82,27,YES,s766,Movie,Daniel Benmayor,"Teo García, Óscar Jaenada, Óscar Casas, Andrea Duro, Sergio Peris-Mencheta, Alberto Jo Lee, Luis Zahera, Andrés Herrera, Nao Albet, César Bandera, Isa Montalbán",Spain,"June 4, 2021",2021,Adults,112 min,"Action & Adventure, International Movies","In this fast-paced and action-packed thriller, a retired hitman — along with his sister and a troubled teen — takes revenge on his lethal stepbrother."
